physical_auto_id,physical_individual_id,physical_cohort_id,physical_date,physical_length_mm,physical_weight_g,physical_brilliance
13,khq54y,,20120307,18,74.7,dull
76,s4bwho,,20130419,17,70.5,dull
27,6l41w3,,20120307,16,66.4,dull
3,kz4kgx,,20120307,16,66.4,dull
8,pmruhe,,20120307,15,62.2,dull
92,km08tv,,20130419,15,62.2,dull
53,xfh49g,,20130419,15,62.2,dull
22,5onq9i,,20120307,14,58.1,dull
34,eeh0br,,20120307,13,53.9,faint
93,j35oss,,20130419,13,53.9,faint
40,w29byd,,20120307,11,45.6,faint
49,c9xlm9,,20120508,10,41.5,faint
453,,ffg891,20140309,980,4066,brilliant
458,,81awij,20140309,971,4028.7,brilliant
353,,t3cuwj,20140115,970,4024.5,brilliant
495,,1c4cfu,20140309,970,4024.5,brilliant
441,,8wy60n,20140309,966,4007.9,brilliant
427,,bo28zb,20140309,962,3991.3,brilliant
358,,jgg0sk,20140115,961,3987.2,brilliant
253,,2vjdu8,20131127,960,3983,brilliant
395,,gs1din,20140115,960,3983,brilliant
341,,5yrf9h,20140115,956,3966.4,brilliant
327,,0s6i5j,20140115,952,3949.8,brilliant
258,,30ou9r,20131127,951,3945.7,brilliant
153,,ysqzpm,20130923,950,3941.6,brilliant
295,,h103d8,20131127,950,3941.6,brilliant
241,,1vek7g,20131127,946,3925,brilliant
227,,n0fm85,20131127,942,3908.4,brilliant
158,,20gov9,20130923,941,3904.2,brilliant
195,,e1ssr2,20130923,940,3900.1,brilliant
488,,lnx2ye,20140309,936,3883.5,brilliant
141,,qx5r6a,20130923,936,3883.5,brilliant
127,,ffg891,20130923,932,3866.9,brilliant
438,,81awij,20140309,931,3862.7,brilliant
388,,t3cuwj,20140115,926,3842,brilliant
430,,1c4cfu,20140309,926,3842,brilliant
464,,8wy60n,20140309,923,3829.5,brilliant
338,,bo28zb,20140115,921,3821.2,brilliant
288,,jgg0sk,20131127,916,3800.5,brilliant
330,,2vjdu8,20140115,916,3800.5,brilliant
364,,gs1din,20140115,913,3788,brilliant
238,,5yrf9h,20131127,911,3779.7,brilliant
188,,0s6i5j,20130923,906,3759,brilliant
230,,30ou9r,20131127,906,3759,brilliant
264,,ysqzpm,20131127,903,3746.5,brilliant
138,,h103d8,20130923,901,3738.2,brilliant
130,,1vek7g,20130923,896,3717.5,brilliant
164,,n0fm85,20130923,893,3705.1,brilliant
486,,20gov9,20140309,891,3696.8,brilliant
481,,e1ssr2,20140309,887,3680.2,brilliant
386,,lnx2ye,20140115,881,3655.3,brilliant
409,,qx5r6a,20140309,878,3642.8,brilliant
381,,ffg891,20140115,877,3638.7,brilliant
286,,81awij,20131127,871,3613.8,brilliant
309,,t3cuwj,20140115,868,3601.3,brilliant
281,,1c4cfu,20131127,867,3597.2,brilliant
444,,8wy60n,20140309,865,3588.9,brilliant
473,,bo28zb,20140309,865,3588.9,brilliant
446,,jgg0sk,20140309,864,3584.7,brilliant
463,,2vjdu8,20140309,862,3576.4,brilliant
186,,gs1din,20130923,861,3572.3,brilliant
209,,5yrf9h,20131127,858,3559.8,brilliant
181,,0s6i5j,20130923,857,3555.7,brilliant
344,,30ou9r,20140115,855,3547.4,brilliant
373,,ysqzpm,20140115,855,3547.4,brilliant
346,,h103d8,20140115,854,3543.2,brilliant
477,,1vek7g,20140309,853,3539.1,brilliant
363,,n0fm85,20140115,852,3534.9,brilliant
109,,20gov9,20130923,848,3518.4,brilliant
244,,e1ssr2,20131127,845,3505.9,brilliant
273,,lnx2ye,20131127,845,3505.9,brilliant
246,,qx5r6a,20131127,844,3501.8,brilliant
377,,ffg891,20140115,843,3497.6,brilliant
263,,81awij,20131127,842,3493.5,brilliant
493,,t3cuwj,20140309,836,3468.6,brilliant
144,,1c4cfu,20130923,835,3464.4,brilliant
173,,8wy60n,20130923,835,3464.4,brilliant
476,,bo28zb,20140309,834,3460.3,brilliant
146,,jgg0sk,20130923,834,3460.3,brilliant
277,,2vjdu8,20131127,833,3456.1,brilliant
163,,gs1din,20130923,832,3452,brilliant
393,,5yrf9h,20140115,826,3427.1,brilliant
423,,0s6i5j,20140309,825,3422.9,briliant
376,,30ou9r,20140115,824,3418.8,briliant
177,,ysqzpm,20130923,823,3414.6,briliant
408,,h103d8,20140309,822,3410.5,briliant
456,,1vek7g,20140309,820,3402.2,briliant
293,,n0fm85,20131127,816,3385.6,briliant
323,,20gov9,20140115,815,3381.4,briliant
276,,e1ssr2,20131127,814,3377.3,briliant
308,,lnx2ye,20140115,812,3369,briliant
356,,qx5r6a,20140115,810,3360.7,briliant
457,,ffg891,20140309,808,3352.4,briliant
193,,81awij,20130923,806,3344.1,briliant
223,,t3cuwj,20131127,805,3339.9,briliant
176,,1c4cfu,20130923,804,3335.8,briliant
208,,8wy60n,20131127,802,3327.5,briliant
256,,bo28zb,20131127,800,3319.2,briliant
466,,jgg0sk,20140309,798,3310.9,briliant
357,,2vjdu8,20140115,798,3310.9,briliant
123,,gs1din,20130923,795,3298.5,briliant
411,,5yrf9h,20140309,793,3290.2,briliant
108,,0s6i5j,20130923,792,3286,briliant
156,,30ou9r,20130923,790,3277.7,briliant
257,,ysqzpm,20131127,788,3269.4,briliant
311,,h103d8,20140115,783,3248.7,briliant
366,,1vek7g,20140115,778,3227.9,briliant
157,,n0fm85,20130923,778,3227.9,briliant
211,,20gov9,20131127,773,3207.2,briliant
489,,e1ssr2,20140309,769,3190.6,briliant
266,,lnx2ye,20131127,768,3186.4,briliant
440,,qx5r6a,20140309,767,3182.3,briliant
111,,ffg891,20130923,763,3165.7,briliant
389,,81awij,20140115,759,3149.1,briliant
479,,t3cuwj,20140309,758,3144.9,briliant
166,,1c4cfu,20130923,758,3144.9,briliant
340,,8wy60n,20140115,757,3140.8,briliant
289,,bo28zb,20131127,749,3107.6,briliant
379,,jgg0sk,20140115,748,3103.5,briliant
240,,2vjdu8,20131127,747,3099.3,briliant
405,,gs1din,20140309,744,3086.9,briliant
189,,5yrf9h,20130923,739,3066.1,briliant
279,,0s6i5j,20131127,738,3062,briliant
140,,30ou9r,20130923,737,3057.8,briliant
305,,ysqzpm,20140115,734,3045.4,briliant
454,,h103d8,20140309,734,3045.4,briliant
491,,1vek7g,20140309,731,3032.9,briliant
419,,n0fm85,20140309,730,3028.8,briliant
475,,20gov9,20140309,729,3024.6,briliant
179,,e1ssr2,20130923,728,3020.5,briliant
435,,lnx2ye,20140309,727,3016.3,briliant
205,,qx5r6a,20131127,724,3003.9,briliant
354,,ffg891,20140115,724,3003.9,briliant
426,,81awij,20140309,722,2995.6,briliant
391,,t3cuwj,20140115,721,2991.4,briliant
319,,1c4cfu,20140115,720,2987.3,briliant
375,,8wy60n,20140115,719,2983.1,bright
335,,bo28zb,20140115,717,2974.8,bright
105,,jgg0sk,20130923,714,2962.4,bright
254,,2vjdu8,20131127,714,2962.4,bright
326,,gs1din,20140115,712,2954.1,bright
291,,5yrf9h,20131127,711,2949.9,bright
500,,0s6i5j,20140309,711,2949.9,bright
219,,30ou9r,20131127,710,2945.8,bright
275,,ysqzpm,20131127,709,2941.6,bright
235,,h103d8,20131127,707,2933.3,bright
154,,1vek7g,20130923,704,2920.9,bright
226,,n0fm85,20131127,702,2912.6,bright
439,,20gov9,20140309,702,2912.6,bright
191,,e1ssr2,20130923,701,2908.4,bright
400,,lnx2ye,20140115,701,2908.4,bright
119,,qx5r6a,20130923,700,2904.3,bright
175,,ffg891,20130923,699,2900.2,bright
478,,81awij,20140309,698,2896,bright
135,,t3cuwj,20130923,697,2891.9,bright
126,,1c4cfu,20130923,692,2871.1,bright
339,,8wy60n,20140115,692,2871.1,bright
300,,bo28zb,20131127,691,2867,bright
378,,jgg0sk,20140115,688,2854.5,bright
239,,2vjdu8,20131127,682,2829.6,bright
200,,gs1din,20130923,681,2825.5,bright
278,,5yrf9h,20131127,678,2813,bright
483,,0s6i5j,20140309,675,2800.6,bright
139,,30ou9r,20130923,672,2788.1,bright
178,,ysqzpm,20130923,668,2771.5,bright
497,,h103d8,20140309,667,2767.4,bright
397,,1vek7g,20140115,666,2763.2,bright
383,,n0fm85,20140115,665,2759.1,bright
431,,20gov9,20140309,664,2754.9,bright
490,,e1ssr2,20140309,663,2750.8,bright
402,,lnx2ye,20140309,661,2742.5,bright
297,,qx5r6a,20131127,656,2721.7,bright
442,,ffg891,20140309,656,2721.7,bright
283,,81awij,20131127,655,2717.6,bright
331,,t3cuwj,20140115,654,2713.4,bright
390,,1c4cfu,20140115,653,2709.3,bright
302,,8wy60n,20140115,651,2701,bright
197,,bo28zb,20130923,646,2680.3,bright
342,,jgg0sk,20140115,646,2680.3,bright
183,,2vjdu8,20130923,645,2676.1,bright
231,,gs1din,20131127,644,2672,bright
290,,5yrf9h,20131127,643,2667.8,bright
202,,0s6i5j,20131127,641,2659.5,bright
471,,30ou9r,20140309,638,2647.1,bright
242,,ysqzpm,20131127,636,2638.8,bright
131,,h103d8,20130923,634,2630.5,bright
190,,1vek7g,20130923,633,2626.3,bright
102,,n0fm85,20130923,631,2618,bright
371,,20gov9,20140115,628,2605.6,bright
142,,e1ssr2,20130923,626,2597.3,bright
455,,lnx2ye,20140309,620,2572.4,bright
271,,qx5r6a,20131127,618,2564.1,bright
355,,ffg891,20140115,610,2530.9,bright
171,,81awij,20130923,608,2522.6,bright
255,,t3cuwj,20131127,600,2489.4,bright
451,,1c4cfu,20140309,599,2485.3,bright
437,,8wy60n,20140309,591,2452.1,bright
155,,bo28zb,20130923,590,2447.9,bright
351,,jgg0sk,20140115,589,2443.8,bright
337,,2vjdu8,20140115,581,2410.6,bright
251,,gs1din,20131127,579,2402.3,bright
472,,5yrf9h,20140309,575,2385.7,bright
460,,0s6i5j,20140309,574,2381.5,bright
237,,30ou9r,20131127,571,2369.1,bright
151,,ysqzpm,20130923,569,2360.8,bright
424,,h103d8,20140309,569,2360.8,bright
324,,1vek7g,20140115,568,2356.6,bright
224,,n0fm85,20131127,567,2352.5,bright
124,,20gov9,20130923,566,2348.3,bright
372,,e1ssr2,20140115,565,2344.2,bright
360,,lnx2ye,20140115,564,2340,bright
137,,qx5r6a,20130923,561,2327.6,bright
498,,ffg891,20140309,556,2306.8,bright
260,,81awij,20131127,554,2298.5,bright
434,,t3cuwj,20140309,550,2282,bright
398,,1c4cfu,20140115,546,2265.4,bright
272,,8wy60n,20131127,545,2261.2,bright
160,,bo28zb,20130923,544,2257.1,bright
334,,jgg0sk,20140115,540,2240.5,bright
421,,2vjdu8,20140309,537,2228,bright
298,,gs1din,20131127,536,2223.9,bright
172,,5yrf9h,20130923,535,2219.7,bright
234,,0s6i5j,20131127,530,2199,bright
321,,30ou9r,20140115,527,2186.5,bright
198,,ysqzpm,20130923,526,2182.4,bright
410,,h103d8,20140309,525,2178.2,bright
134,,1vek7g,20130923,520,2157.5,bright
221,,n0fm85,20131127,517,2145,bright
310,,20gov9,20140115,515,2136.7,bright
422,,e1ssr2,20140309,510,2116,bright
121,,lnx2ye,20130923,507,2103.5,bright
414,,qx5r6a,20140309,507,2103.5,bright
210,,ffg891,20131127,505,2095.2,bright
499,,81awij,20140309,504,2091.1,bright
322,,t3cuwj,20140115,500,2074.5,bright
314,,1c4cfu,20140115,497,2062.1,bright
110,,8wy60n,20130923,495,2053.8,bright
407,,bo28zb,20140309,494,2049.6,bright
399,,jgg0sk,20140115,494,2049.6,bright
485,,2vjdu8,20140309,493,2045.5,bright
222,,gs1din,20131127,490,2033,bright
214,,5yrf9h,20131127,487,2020.6,bright
445,,0s6i5j,20140309,485,2012.3,bright
307,,30ou9r,20140115,484,2008.1,bright
299,,ysqzpm,20131127,484,2008.1,brigth
385,,h103d8,20140115,483,2004,brigth
122,,1vek7g,20130923,480,1991.5,brigth
114,,n0fm85,20130923,477,1979.1,brigth
413,,20gov9,20140309,475,1970.8,brigth
345,,e1ssr2,20140115,475,1970.8,brigth
448,,lnx2ye,20140309,475,1970.8,brigth
207,,qx5r6a,20131127,474,1966.6,brigth
199,,ffg891,20130923,474,1966.6,brigth
285,,81awij,20131127,473,1962.5,brigth
462,,t3cuwj,20140309,472,1958.3,brigth
449,,1c4cfu,20140309,468,1941.7,average
313,,8wy60n,20140115,465,1929.3,average
245,,bo28zb,20131127,465,1929.3,average
348,,jgg0sk,20140115,465,1929.3,average
107,,2vjdu8,20130923,464,1925.1,average
403,,gs1din,20140309,464,1925.1,average
487,,5yrf9h,20140309,463,1921,average
185,,0s6i5j,20130923,463,1921,average
362,,30ou9r,20140115,462,1916.8,average
349,,ysqzpm,20140115,458,1900.2,average
417,,h103d8,20140309,458,1900.2,average
415,,1vek7g,20140309,457,1896.1,average
213,,n0fm85,20131127,455,1887.8,average
145,,20gov9,20130923,455,1887.8,average
248,,e1ssr2,20131127,455,1887.8,average
303,,lnx2ye,20140115,454,1883.6,average
387,,qx5r6a,20140115,453,1879.5,average
262,,ffg891,20131127,452,1875.3,average
249,,81awij,20131127,448,1858.8,average
317,,t3cuwj,20140115,448,1858.8,average
315,,1c4cfu,20140115,447,1854.6,average
113,,8wy60n,20130923,445,1846.3,average
148,,bo28zb,20130923,445,1846.3,average
203,,jgg0sk,20131127,444,1842.2,average
287,,2vjdu8,20131127,443,1838,average
162,,gs1din,20130923,442,1833.9,average
469,,5yrf9h,20140309,441,1829.7,average
149,,0s6i5j,20130923,438,1817.3,average
217,,30ou9r,20131127,438,1817.3,average
215,,ysqzpm,20131127,437,1813.1,average
103,,h103d8,20130923,434,1800.7,average
187,,1vek7g,20130923,433,1796.5,average
369,,n0fm85,20140115,431,1788.2,average
117,,20gov9,20130923,428,1775.8,average
115,,e1ssr2,20130923,427,1771.6,average
269,,lnx2ye,20131127,421,1746.7,average
169,,qx5r6a,20130923,411,1705.2,average
418,,ffg891,20140309,411,1705.2,average
318,,81awij,20140115,401,1663.7,average
218,,t3cuwj,20131127,391,1622.3,average
492,,1c4cfu,20140309,386,1601.5,average
459,,8wy60n,20140309,384,1593.2,average
118,,bo28zb,20130923,381,1580.8,average
392,,jgg0sk,20140115,376,1560,average
359,,2vjdu8,20140115,374,1551.7,average
292,,gs1din,20131127,366,1518.5,average
259,,5yrf9h,20131127,364,1510.2,average
461,,0s6i5j,20140309,358,1485.3,average
404,,30ou9r,20140309,357,1481.2,average
192,,ysqzpm,20130923,356,1477,average
159,,h103d8,20130923,354,1468.7,average
450,,1vek7g,20140309,351,1456.3,average
361,,n0fm85,20140115,348,1443.9,average
304,,20gov9,20140115,347,1439.7,average
494,,e1ssr2,20140309,346,1435.6,average
447,,lnx2ye,20140309,342,1419,average
350,,qx5r6a,20140115,341,1414.8,average
261,,ffg891,20131127,338,1402.4,average
204,,81awij,20131127,337,1398.2,average
394,,t3cuwj,20140115,336,1394.1,average
429,,1c4cfu,20140309,335,1389.9,average
347,,8wy60n,20140115,332,1377.5,average
250,,bo28zb,20131127,331,1373.3,average
161,,jgg0sk,20130923,328,1360.9,average
104,,2vjdu8,20130923,327,1356.7,average
294,,gs1din,20131127,326,1352.6,average
329,,5yrf9h,20140115,325,1348.4,average
432,,0s6i5j,20140309,323,1340.1,average
247,,30ou9r,20131127,322,1336,average
482,,ysqzpm,20140309,322,1336,average
150,,h103d8,20130923,321,1331.8,average
468,,1vek7g,20140309,318,1319.4,average
194,,n0fm85,20130923,316,1311.1,average
465,,20gov9,20140309,315,1306.9,average
229,,e1ssr2,20131127,315,1306.9,average
332,,lnx2ye,20140115,313,1298.6,average
147,,qx5r6a,20130923,312,1294.5,average
382,,ffg891,20140115,312,1294.5,average
368,,81awij,20140115,308,1277.9,average
365,,t3cuwj,20140115,305,1265.4,average
129,,1c4cfu,20130923,305,1265.4,average
232,,8wy60n,20131127,303,1257.1,average
282,,bo28zb,20131127,302,1253,average
480,,jgg0sk,20140309,301,1248.8,average
496,,2vjdu8,20140309,299,1240.6,average
268,,gs1din,20131127,298,1236.4,average
428,,5yrf9h,20140309,298,1236.4,average
265,,0s6i5j,20131127,295,1224,average
412,,30ou9r,20140309,295,1224,average
132,,ysqzpm,20130923,293,1215.7,average
182,,h103d8,20130923,292,1211.5,average
380,,1vek7g,20140115,291,1207.4,average
396,,n0fm85,20140115,289,1199.1,average
168,,20gov9,20130923,288,1194.9,average
328,,e1ssr2,20140115,288,1194.9,average
165,,lnx2ye,20130923,285,1182.5,average
312,,qx5r6a,20140115,285,1182.5,average
474,,ffg891,20140309,283,1174.2,average
280,,81awij,20131127,281,1165.9,average
296,,t3cuwj,20131127,279,1157.6,average
228,,1c4cfu,20131127,278,1153.4,average
212,,8wy60n,20131127,275,1141,average
484,,bo28zb,20140309,275,1141,average
374,,jgg0sk,20140115,273,1132.7,average
180,,2vjdu8,20130923,271,1124.4,average
196,,gs1din,20130923,269,1116.1,average
128,,5yrf9h,20130923,268,1111.9,average
112,,0s6i5j,20130923,265,1099.5,average
384,,30ou9r,20140115,265,1099.5,average
274,,ysqzpm,20131127,263,1091.2,average
433,,h103d8,20140309,263,1091.2,average
467,,1vek7g,20140309,261,1082.9,dull
284,,n0fm85,20131127,255,1058,dull
174,,20gov9,20130923,253,1049.7,dull
333,,e1ssr2,20140115,253,1049.7,dull
367,,lnx2ye,20140115,251,1041.4,dull
184,,qx5r6a,20130923,245,1016.5,dull
233,,ffg891,20131127,243,1008.2,dull
267,,81awij,20131127,241,999.9,dull
452,,t3cuwj,20140309,238,987.5,dull
133,,1c4cfu,20130923,233,966.7,dull
167,,8wy60n,20130923,231,958.4,dull
352,,bo28zb,20140115,228,946,dull
252,,jgg0sk,20131127,218,904.5,dull
420,,2vjdu8,20140309,211,875.4,dull
401,,gs1din,20140309,209,867.1,dull
152,,5yrf9h,20130923,208,863,dull
470,,0s6i5j,20140309,208,863,dull
436,,30ou9r,20140309,207,858.8,dull
416,,ysqzpm,20140309,201,833.9,dull
320,,h103d8,20140115,201,833.9,dull
301,,1vek7g,20140115,199,825.7,dull
370,,n0fm85,20140115,198,821.5,dull
336,,20gov9,20140115,197,817.4,dull
316,,e1ssr2,20140115,191,792.5,dull
220,,lnx2ye,20131127,191,792.5,dull
201,,qx5r6a,20131127,189,784.2,dull
443,,ffg891,20140309,188,780,dull
270,,81awij,20131127,188,780,dull
236,,t3cuwj,20131127,187,775.9,dull
216,,1c4cfu,20131127,181,751,dull
120,,8wy60n,20130923,181,751,dull
101,,bo28zb,20130923,179,742.7,dull
343,,jgg0sk,20140115,178,738.5,dull
170,,2vjdu8,20130923,178,738.5,dull
136,,gs1din,20130923,177,734.4,dull
116,,5yrf9h,20130923,171,709.5,dull
243,,0s6i5j,20131127,168,697,dull
406,,30ou9r,20140309,161,668,dull
143,,ysqzpm,20130923,158,655.5,dull
306,,h103d8,20140115,151,626.5,dull
206,,1vek7g,20131127,141,585,dull
425,,n0fm85,20140309,138,572.6,dull
106,,20gov9,20130923,131,543.5,dull
325,,e1ssr2,20140115,128,531.1,dull
225,,lnx2ye,20131127,118,489.6,dull
125,,qx5r6a,20130923,108,448.1,dull
